,@Username,Tweet,Lokasi
117,Rakyatsatu_com,"Prabowo Subianto 33,2%
Ganjar Pranowo 22,1%
Anies Baswedan 20,9%
Ridwan Kamil 6,2%
Agus Harimurti Yudhoyono 4,3%
Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%
Belum punya pilihan 0,7%","Kota Makassar, Sulawesi Selata"
118,tokopedia,"Guys besok akan Live Shopping INACRAFT bersama Mas Menteri Sandiaga Uno @sandiuno nih! Banyak produk lokal yang diskon sampe 80%, dan ada giveaway Gift Card 450 ribu juga buat 3 org pemenang~ 

Nyalain reminder-nya ya biar ga ketinggalan 😉 

#PPGR #liveshopping #Tokopediaevent",
119,CahAngo45022699,"Ketum Partai Demokrat AHY menempati posisi keenam dgn perolehan suara 1,2 persen.
Posisi ketujuh, ada nama Menparekraf Sandiaga Uno yg memperoleh 0,9 persen suara.
Posisi kedelapan, yaitu Menteri Sosial Tri Rismaharini dgn 0,6 persen suara.
#GanjarBeriKemajuanNKRI https://t.co/62KXVJPEId",jawa tengah
120,jpnncom,"PPKM Dicabut, Jadi Momentum Kebangkitan Industri Wisata di Indonesia #SandiagaUno https://t.co/PY197czli0",Indonesia
121,liputan6dotcom,"Sandiaga Uno Incar 7,4 Juta Turis Asing Kunjungi Indonesia di 2023 https://t.co/AFuI0Glvtk",INDONESIA
122,ElshintaDotcom,Sandiaga Uno gunakan kereta panoramic untuk kunjungan kerja https://t.co/9lOHwf7L6z https://t.co/HCqX63zaAW,Jakarta Barat
123,tempodotco,Sandiaga Uno Promosikan Kereta Panoramic: Sensasinya Menarik dan Luar Biasa https://t.co/ecz7CAHF9q #TempoTravel,Indonesia
124,tribunbanten,"PPP Sepakat Pinang Sandiaga Uno di Pilpres 2024, Sebut Mengulang Kejayaa... https://t.co/MwlQCm2FzP lewat @YouTube https://t.co/gdxOgOnx4Y",Banten
125,jpnncom,"#BeritaJateng 
Terinspirasi Sandiaga Uno, YPIJ Adakan Pelatihan Wirausaha untuk Warga Temanggung
@sandiuno 
#pelatihanwirausaha
#sandiagauno 
https://t.co/MUWR6kCxGj",Indonesia
126,ECandraji,"Indonesia Polling Stations (IPS) juga merilis hasil survei tokoh yang masuk bursa cawapres 2024. Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Uno, dan Menteri BUMN Erick Thohir menempati posisi 3 besar di survei ini. https://t.co/5pmZdx2Ug4",
127,mulhandy1945,@seruanhl @Urrangawak @erickthohir @03__nakula @Ary_Prasetyo85 @chaterine_8 @NgkongRoses @yarachantique @GadisNKRI_ @selfmirror_ @MARV3Louis @denni_sauya @terbucinz Kenapa nda Ganjar - Sandiaga Uno ??  Kalo dilihat kekayaannya dengan Erick yg mana yah yang lebih kaya.🤭🙏,Indonesia
128,HidayatNatari,"https://t.co/aJdOGHddMc
Voxpol; Anies tertinggi disegmen Capres, Sandiaga Uno tertinggi di segmen Cawapres. 
Tras; Pasangan Anies-AHY tertinggi dari pasangan Ganjar-Erick dan pasangan Prabowo-Khofifah. https://t.co/cND06pPgfr",
129,RyujiDanma4,"""Ridwan Kamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang","Depok, Indonesia"
130,RyujiDanma4,"Indonesia Polling Stations (IPS) juga merilis hasil survei tokoh yang masuk bursa cawapres 2024. Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Uno, dan Menteri BUMN Erick Thohir menempati posisi 3 besar di survei ini. https://t.co/AoXSp0fMb8","Depok, Indonesia"
131,bakti_made,"""Ridwan Kamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang","Depok, Indonesia"
132,bakti_made,"Indonesia Polling Stations (IPS) juga merilis hasil survei tokoh yang masuk bursa cawapres 2024. Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Uno, dan Menteri BUMN Erick Thohir menempati posisi 3 besar di survei ini. https://t.co/ccbfSoXHA1","Depok, Indonesia"
133,caritaucom,"Sandiaga Uno memilih moda transportasi Kereta Panoramic untuk melakukan kunjungan kerja ke beberapa daerah di Jawa Barat. Ia sendiri menuturkan sensasi menarik saat menggunakan kereta tersebut. 
https://t.co/n1x6ttSKGC https://t.co/VZG45IE2X8",
134,SINDOnews,"Sandiaga Uno Ajak Santri Ciptakan Konten Kreatif Bernuansa Islami
https://t.co/doqnCWggMq","Jakarta Pusat, DKI Jakarta"
135,OkeBaliNews,Sandiaga Uno Ajak Santri di Ponpes Modern Al-Ikhlash Putri Kuningan Ciptakan Konten Kreatif - https://t.co/YN2mIt5Wqi https://t.co/ULeQf4yv1L,"Bali, Indonesia"
136,SeputariNews,"Sandiaga Uno Ajak Santri Ciptakan Konten Kreatif Bernuansa Islami
 https://t.co/qyW0kXr1X7",MNC News Center Lt.11 Jakarta
137,detik_jabar,"Ini lima kuliner Cirebon yang kerap diburu wisatawan versi Menpar Sandiaga Uno. Simak yuk ulasannya di sini detikers! 
https://t.co/CgbZjWF154",
138,ratih_ploey,"Setelah itu, pasangan Sandiaga Uno ini tampak agak emosional karena teringat mendiang sang ibu. #PrabowoSubianto #PrabowoPerkuatKesehatan #BangkitBersama",
139,fathw25,Sandiaga Uno Dukung Prabowo Subianto Capres 2024 - SINDOnews Nasional https://t.co/bw3txpwGgJ #IndonesiaKuat #BangkitBersama,
140,OkeBaliNews,Sandiaga Uno Dorong Kabupaten Kuningan Kembangkan Produk Parekraf Berbasis Komunitas Membangkitkan Ekonomi - https://t.co/VuurWNRvvI https://t.co/NzqrkW7u8k,"Bali, Indonesia"
141,Lintas_MNCTV,"Sandiaga Uno Ajak Santri Ciptakan Konten Kreatif Bernuansa Islami

https://t.co/lOSFW699Oq",Indonesia
142,Akubknultramen,"Sandiaga Uno Mau Ketemu Empat Mata Bareng Prabowo, Bahas Apa? - SINDOnews Nasional https://t.co/UDJ4uWMfcs #IndonesiaKuat #BangkitBersama",
143,WartaEkonomi,Sandiaga Uno Dorong Kabupaten Kuningan Kembangkan Produk Parekraf Berbasis Komunitas https://t.co/yu4BKHgifL,"Jakarta, Indonesia"
144,tpiboonggg,"Ajakan ia gaungkan terkait tudingan kecurangan pelaksanaan Pemilu 2019. Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat 

https://t.co/7JSrRlpZ5T",Cangtip tapi boong
145,kabarlhk,"Ada Edukasi Satwa Hingga Agrowisata, Memparekraf Sandiaga Uno Apresiasi Konsep Wisata J&amp;amp;J Kuningan https://t.co/Oup2O2f4rl",Indonesia
146,akufelfel,"Ajakan ia gaungkan terkait tudingan kecurangan pelaksanaan Pemilu 2019. Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat 

https://t.co/1f2ZOAZz3z","DKI Jakarta, Indonesia"
147,viavianiii,"Ajakan ia gaungkan terkait tudingan kecurangan pelaksanaan Pemilu 2019. Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat 

https://t.co/C9oSsNcz5s","DKI Jakarta, Indonesia"
148,Disuruh_Iben,Sandiaga Uno Berkomunikasi dengan Prabowo Subianto Sebelum ke Partai Lain? - https://t.co/zTqBOYvfCy https://t.co/s6nujiqyyV #IndonesiaKuat #BangkitBersama,Pulau Impian
149,canputtt,"Ajakan ia gaungkan terkait tudingan kecurangan pelaksanaan Pemilu 2019. Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat 

https://t.co/UhBSnXIF3I","DKI Jakarta, Indonesia"
150,jpnncom,"Terinspirasi Sandiaga Uno, YPIJ Adakan Pelatihan Wirausaha untuk Warga Temanggung #sandiagauno https://t.co/MUWR6kBZQL",Indonesia
151,ulmi_ar,"Ude eh. Anti mager lagi hari sabtu ini bersama pak sandiaga Uno. Tidak tau happynya di mana. Lebih nyaman nyanyi lagu kahitna di kamar, lihat langit. Daripada keluar rumah.","Makassar, Sulawesi Selatan"
152,ANTARABengkulu,Sandiaga Uno gunakan kereta panoramic untuk kunjungan kerja - ANTARA News Bengkulu https://t.co/t7I2SAsEHF,
153,AyuPenari,Sandiaga Uno Apresiasi Tour de Linggajati sebagai Atraksi Wisata Skala Internasional https://t.co/V40Y1CuqKI #Kuningan #Ciayumajakuning,"Semanu, Indonesia"
154,officialntv_,"Sandiaga Uno Gunakan Kereta Panoramic untuk Kunjungan Kerja

https://t.co/liELRtnCJY

#menparekaf #sandiagauno #kereta #keretapanoramic #panoramic #kunker #cirebon #kuningan #wisata",Jakarta Pusat
155,TempoeDoeloee,"Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat
https://t.co/CDsXTsHUT1",
156,Anak_Senja90,"Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat
https://t.co/xl5nyHZIk1","Denpasar Selatan, Indonesia"
157,jpnncom,"Kunjungan Kerja ke Jawa Barat Naik Kereta Panoramic, Sandiaga Uno: Luar Biasa #SandiagaUno https://t.co/PXC1ruNyL9",Indonesia
158,vabinho_28,"Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat
https://t.co/112tmSIvdy",
159,adrvised,"Karena tudingan itu ia menyerukan kepada pendukung paslon 02 dalam Pilpres 2019 Prabowo Subianto-Sandiaga Uno untuk tidak membayar pajak. #PajakUntukRakyat
https://t.co/VnTR1XFTYW",
160,detik_jabar,"""Kita mengumpulkan generasi muda dan generasi Z yang menjadi pemimpin masa depan dengan memberikan pelatihan sosial media digital marketing, termasuk bagaimana menciptakan konten untuk membantu penjualan produk UMKM,"" kata Sandiaga Uno.
https://t.co/lMmf73WJ3p",
161,XinwenMetroTV,"Menparekraf Sandiaga Uno menanggapi pernyataan warganet tentang mobil Jeep Rubicon yang dikendarai Mario Dandy di area sabana Taman Nasional Bromo Tengger Semeru, Jawa Timur, yang terlarang untuk mobil pribadi. Sandi berharap kejadian serupa tidak terulang di masa mendatang. https://t.co/WfFpWh70Sf",
162,kumparan,Sandiaga Uno memberikan motivasi dan kisi-kisi sukses di masa mendatang dan peningkatan media digitalisasi kepada para milenial. https://t.co/uVB5XGIJPC,
163,wartapesona,Sandiaga Uno :Pariwisata Menggeliat dan Ekonomi Bangkit di Balige dengan Penuhnya Penginapan https://t.co/9FhUlWyelz,Indonesia
164,fajaronline,Sandiaga: Pak Prabowo Tidak Galak dan Angker https://t.co/i9Qm4g8zTO #Gerindra #prabowo #SandiagaUno,"Jakarta, Indonesia"
165,tribunnewswiki,"Kelakuan Mario POSE DI ATAS RUBICON Masuk di Kawasan Wisata Bromo, Sandiaga Uno Beri Angkat Bicara #mariodandy #rubicon #sandiagauno #beritaViral https://t.co/ykviE6OJAm",Indonesia
166,pak_uno,@kochengfs pagi-pagi dibikin melow. semoga bahagia disana ya heru,"Yogyakarta, Indonesia"
167,OkeBaliNews,"Kunjungan Kerja ke Jawa Barat, Sandiaga Uno Naik Kereta Panoramic KAI Wisata - https://t.co/31TTBja1dy https://t.co/j0R69m6z5B","Bali, Indonesia"
168,SejarahLokal,"Surga Tersembunyi di Kabupaten Kuningan yang Bikin Sandiaga Uno Terpukau! Kemenparekraf Bahkan Siap Mengawal 
 https://t.co/4OXGq5QknC",
169,AyuPenari,Sandiaga Uno: Nasi Jamblang Kuliner Khas Cirebon Favorit Wisatawan https://t.co/d4aU5uBrQf #NasiJamblang #Ciayumajakuning,"Semanu, Indonesia"
170,AyuPenari,Sandiaga Uno: 60 Persen Penjualan Meningkat Karena Konten Kreatif https://t.co/wc0iR7g9Th #KontenKreatif #Ciayumajakuning,"Semanu, Indonesia"
171,AyuPenari,Sandiaga Uno Expose Potensi Wisata Kuningan di Cilimus https://t.co/YJSPs30MQT #Kuningan #Ciayumajakuning,"Semanu, Indonesia"
172,AldiNeno,""" @ridwankamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang https://t.co/QxT32ZZQlh","Ujungberung, Indonesia"
173,wartapesona,Sandiaga Uno:Kemudahan dalam Perizinan Acara Dapat Menciptakan Gerakan Ekonomi hingga Rp170 Triliun https://t.co/DkAl9KsbXC,Indonesia
174,cinggaro,"salah tong, jika anies berpasangan dengan sandiaga uno menang koq, tapi bayar utang duluuu...

sanggup?

😁

https://t.co/tlLSw1odfI https://t.co/ewpAybNzsD",jakarta selatan
175,razhgii,wtf sandiaga uno di depan alpus ngapain co,deket
176,Bobbykurnia1a,""" @ridwankamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang https://t.co/LbEinm6JcL","Semarang Barat, Indonesia"
177,rctvcirebon,"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno, mendorong peningkatan investasi di kabupaten kota, yang berpotensi di sektor... - https://t.co/YfB2umATOI https://t.co/BK6AluZKZs",Cirebon - Indonesia
178,Disuruh_Iben,"Bersama Puan dan Sandiaga Uno, Prabowo Subianto Melayat ke Rumah Duka Ayahanda Kepala BIN Budi Gunawan - RMOL https://t.co/QtsLcxBM1X #IndonesiaKuat #BangkitBersama",Pulau Impian
179,kabarlhk,"Selain Pesona Alam, Menparekraf Sandiaga Uno Sebut Kuningan sebagai Kota Sejuta Rasa, Apa Maksudnya? https://t.co/z1JESK2n2a",Indonesia
180,papaAntar,"#infoWisata Rubicon Mario Dandy Masuk Kawasan Bromo, Begini Reaksi Sandiaga Uno https://t.co/OY1Ggl3cC6",Indonesia
181,Didi_margo,@republikaonline Sandiaga Uno -Eroc Thohir,
182,AlbertSolo2,"Mantan wakil gubernur DKI Jakarta yang kini Menteri pariwisata dan ekonomi kreatif,Sandiaga Uno menyebut ada beberapa tempat wisata di Jakarta timur dan Jakarta barat yang terendam banjir,seperti TMII dan kebun binatang Ragunan.Sandiaga Uno menyebut,banjir kali ini yang terparah.","Surakarta, Jawa Tengah"
183,KomangOkoBerata,"@satriohendri Untuk menghindari jangan sampai Anies jadi presiden bro, bakal habis APBN buat bayar hutang ke Sandiaga Uno.","Clovis, CA"
184,itsreivo,@BadmintonTalk @ainurohman Apa perlu ini PBSI D pegang sama Sandiaga Uno aja. Yg pikirannya lebih maju,"Sumatera Selatan, Indonesia"
185,detik_jabar,"Diisukan Jadi Cawapres, Sandiaga Uno Masih Fokus Kerja https://t.co/zRsKAgdVlo",
186,pengangguranan,"@operatorgalang1 @LoveOfSpeechz @CNNIndonesia Ouh begitu. Kalo begitu tidak menutup kemungkinan pejabat lain juga money laundering dong? Seperti sandiaga uno, erick thohir, ataupun bu susi yg dulu sempet menjabat. Karena mereka juga punya usaha. Tapi mengapa tidak ramai dugaan money laundering ya?",
187,reyagasi,"@baby__starcandy @macchiaoto @tanyarlfes serius kak gak kenal wishnutama?? net tv d tinggal dia krn d tunjuk jadi menteri pariwisata, tapi blm ada 2 tahun udah d reshuffel jokowi krn gak ada kemajuan n d ganti sama sandiaga uno..",Di hati mu
188,Faktorutama,"Gandeng Merry Riana Tingkatkan Kapasitas SDM, Menparekraf Sandiaga Uno: Katalisator Pemulihan Ekonomi Indonesia - https://t.co/HFOoK0T8Pg",
189,seatodaynews,"Tourism and Creative Economy Minister Sandiaga Uno stated on Sunday (2/26) that the economic impact of the F1 PowerBoat held in Lake Toba could reach an estimated IDR300 billion.

#SEAToday #SEATodayNews #LakeToba #Toba #DanauToba #WonderfulIndonesia #F1PowerBoat #F1H2O https://t.co/yAMVHWsqWW",Indonesia
190,SalfianPiliang,"Moto GP 
Anies Baswedan
Islam
Liburan
Danau Toba
F1
Presiden
Prabowo 
Sandiaga Uno
David
Lemon 
Agnes https://t.co/mjWGa8WTsZ",
191,SalfianPiliang,"Moto GP 
Anies Baswedan
Islam
Liburan
Danau Toba
F1
Presiden
Prabowo 
Sandiaga Uno
David
Lemon 
Agnes https://t.co/SpWfH15Kjy",
192,SalfianPiliang,"Moto GP 
Anies Baswedan
Islam
Liburan
Danau Toba
F1
Presiden
Prabowo 
Sandiaga Uno
David
Lemon 
Agnes https://t.co/B3umwwLJVC",
193,SalfianPiliang,"Moto GP 
Anies Baswedan
Islam
Liburan
Danau Toba
F1
Presiden
Prabowo 
Sandiaga Uno
David
Lemon 
Agnes https://t.co/ULFpPNc8WX",
194,GTVID_News,"Sandiaga Uno Apresiasi Masyarakat Sumut Terkait F1 PowerBoat: Kita akan Terus Menarik Event Berskala Internasional

https://t.co/484wmLvHp9","Jakarta, Indonesia"
195,okezonenews,Sandiaga Uno Sebut Kemudahan Izin Event Bisa Ciptakan Pergerakan Ekonomi hingga Rp170 Triliun    #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/H4aDm7FbhB,Jakarta
196,moneydotid,Sandiaga Uno Jengkel Mario Dandy dan Rubiconnya Masuk Area Terlarang Kawasan Bromo https://t.co/Ie02e8BcXT,Jakarta Capital Region
197,otonomicoid,Sandiaga Uno Jengkel Mario Dandy dan Rubiconnya Masuk Area Terlarang Kawasan Bromo https://t.co/foo2CRZwJ7,Jakarta Capital Region
198,KompasEkonomi,"Dipakai Billie Eilish, Sandiaga Uno Mau Bantu Daftarkan HKI Merek Fesyen Dressedlikeparents https://t.co/zlDQ7zp3qu",Indonesia
199,newscast_id,Sandiaga Uno Jengkel Mario Dandy dan Rubiconnya Masuk Area Terlarang Kawasan Bromo https://t.co/p9Qti4XfEv,Indonesia
200,soleilessera,"@tanyakanrl unknown numb, tiba-tiba P nanyain sandi, sandi apaan sandi otot, sandiaga uno https://t.co/IWem1jjqhb",
201,RafiGates,"Rubicon Mario Dandy yang masuk kawasan Bromo, Sandiaga Uno larang keras kendaraan pribadi masuk sabana Bromo, @GunRomli: Duit bapaknya yang sakti. https://t.co/ziIvenVS6i","Yogyakarta, Indonesia"
202,warna_nusa,"Rubicon Mario Dandy di Bromo, Sandiaga Uno Larang Keras Masuk Sabana, Guntur Romli: Duit Bapaknya yang Sakti https://t.co/8KqdTwesmn",Jl. Sumatera 118-120 Jember
203,yosephrosario_,Namun sayang usahanya masih gagal dan ia melanjutkan lagi tekadnya untuk menjadi calon presiden pada Pilpres 2019 dengan calon wakil presiden yang mendampinginya yaitu Sandiaga Uno.,
204,Delon_Mask,"""Ridwan Kamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang",
205,Delon_Mask,"Indonesia Polling Stations (IPS) juga merilis hasil survei tokoh yang masuk bursa cawapres 2024. Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Uno, dan Menteri BUMN Erick Thohir menempati posisi 3 besar di survei ini.
 https://t.co/eS7MzALnI7",
206,orbittweet_id,"Sandiaga Uno Berencana Beri Modal Hotel Nonbintang, PHRI Bali: Terima Kasih https://t.co/gFl6zWcMH5 
@sandiuno 
@Kemenparekraf",Jakarta
207,FathanArayuga,"Berdasarkan hasil survei Sandiaga Uno sebanyak 31,50 persen responden, berturut-turut setelahnya RK 21,80 persen persen, AHY 13,10 persen, Erick Tohir 11,70 persen, Khofifah 4 persen, Muhaimin Iskandar 2,80 persen dan Airlangga Hartarto 2,50 persen. #BersamaJuara Ridwan Kamil",
208,fanie_cella,"Berdasarkan hasil survei Sandiaga Uno sebanyak 31,50 persen responden, berturut-turut setelahnya RK 21,80 persen persen, AHY 13,10 persen, Erick Tohir 11,70 persen, Khofifah 4 persen, Muhaimin Iskandar 2,80 persen dan Airlangga Hartarto 2,50 persen. #BersamaJuara Ridwan Kamil","Villa Tomang Baru, Tangerang"
209,Fanshurii,"Berdasarkan hasil survei Sandiaga Uno sebanyak 31,50 persen responden, berturut-turut setelahnya RK 21,80 persen persen, AHY 13,10 persen, Erick Tohir 11,70 persen, Khofifah 4 persen, Muhaimin Iskandar 2,80 persen dan Airlangga Hartarto 2,50 persen. #BersamaJuara Ridwan Kamil",Melaka
210,BudiHer98,"Berdasarkan hasil survei Sandiaga Uno sebanyak 31,50 persen responden, berturut-turut setelahnya RK 21,80 persen persen, AHY 13,10 persen, Erick Tohir 11,70 persen, Khofifah 4 persen, Muhaimin Iskandar 2,80 persen dan Airlangga Hartarto 2,50 persen. #BersamaJuara Ridwan Kamil",Indonesia
211,BudiHer98,"Survei PUTIN: Sandiaga Uno, Ridwan Kamil dan AHY Cawapres Favorit di Jambi https://t.co/9ZdUHJhjSQ
#BersamaJuara",Indonesia
212,aulia_victiria,AAAA KETEMU PA SANDIAGA UNO https://t.co/0nZWHJnTdq,
213,Arzifa_Official,"Ajaibnya Mario Dandy, Rubiconnya Bisa Masuk Area Terlarang Wisata Bromo, Sandiaga Uno: Patuhi Aturan https://t.co/927u0djhxR",
214,chatnews_id,Sandiaga Uno Pastikan Izin Gelaran Event Dipermudah https://t.co/vne4KTZ6X3,Indonesia
215,detikcom,"Median merilis hasil survei elektabilitas cawapres 2024 via media sosial. Hasilnya, Ridwan Kamil menempati posisi teratas, disusul AHY dan Sandiaga Uno. https://t.co/zjrdofnW8m","Jakarta, Indonesia"
216,BaturMbaWulan,"Pada 28 Februari 2023, BMW (Batur Mba Wulan) bergandengen dengan HR Academy hadir di acara UMKM EXPO yang diselenggarakan di Grage City Mall, Cirebon. BMW hadir dalam pameran UMKM EXPO yang dihadiri oleh Mas Menteri Sandiaga Uno. Yang ada di lokasi, jangan lupa mampir ya! https://t.co/BHIYsxroBK","Kota Cirebon, Jawa Barat"
217,tribunmedan,"Sandiaga Uno Optimis Perhelatan F1H20 Berikan Kebangkitan Ekonomi Pariwisata Danau Toba
 
https://t.co/hn9Pv1H3pQ via @tribunmedan","Medan, Indonesia"
218,aderahmafitria1,"Berdasarkan hasil survei Sandiaga Uno sebanyak 31,50 persen responden, berturut-turut setelahnya RK 21,80 persen persen, AHY 13,10 persen, Erick Tohir 11,70 persen, Khofifah 4 persen, Muhaimin Iskandar 2,80 persen dan Airlangga Hartarto 2,50 persen. #BersamaJuara Ridwan Kamil",indonesia
219,aderahmafitria1,"Survei PUTIN: Sandiaga Uno, Ridwan Kamil dan AHY Cawapres Favorit di Jambi https://t.co/Ya8PfsQGgg
#BersamaJuara",indonesia
220,kuninganreligi,Menparekraf Sandiaga Uno: Kuningan Punya Banyak Potensi Pariwisata untuk Dikembangkan https://t.co/VHtzZA11kp https://t.co/vHhzMEfQ2H,
221,idx_channel,"Rubicon Mario Dandy masuk Sabana Gunung Bromo, Sandiaga Uno bilang begini https://t.co/142K7WgpvM",Jakarta Capital Region
222,RadioSmartFM,"Menparekraf Sandiaga Uno mengatakan, penyelenggara dan pegiat event bakal dapat angin segar dengan kemudahan mengurus izin penyelenggaraan acara.

Penyelenggara dan pegiat event ini mencakup kegiatan ekonomi kreatif, musik, film, seni budaya, dan olahraga.

#SmartNews @kompascom https://t.co/u8UgqdtMgF",Jl. Kebahagiaan No.4-14Jakarta
223,Sobat_Juara,"""Ridwan Kamil dan Sandiaga Uno tetap paling banyak dipilih responden sebagai wapres jika pilpres dilaksanakan saat ini. Sebanyak 21,8% responden menyatakan Ridwan Kamil sebagai sosok yang paling tepat untuk menjadi wapres RI mendatang","Jawa Barat, Indonesia"
224,Sobat_Juara,"Indonesia Polling Stations (IPS) juga merilis hasil survei tokoh yang masuk bursa cawapres 2024. Gubernur Jawa Barat Ridwan Kamil, Menparekraf Sandiaga Uno, dan Menteri BUMN Erick Thohir menempati posisi 3 besar di survei ini.
https://t.co/si7xih8Hy4","Jawa Barat, Indonesia"
225,Indonesiaalyoum,"Ridwan Kamil @ridwankamil , Sandiaga Uno @sandiuno , And Erick Thohir @erickthohir  Are The Top Three Candidates For Vice President According To IPS

https://t.co/ZjcR3vqjIN","Jakarta, Indonesia"
226,politikngaji2,"Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%
Belum punya pilihan 0,7%",
227,davidadi,"Pengguna M-Banking BCA yang lagi ngeluh error, ada baiknya download myBCA. UI dan UX nya lebih baik walaupun masih belum terbiasa memakainya.",
228,autokrat_not,"Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%
Belum punya pilihan 0,7%",
229,DKliktivisme,"Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%
Belum punya pilihan 0,7%",
230,erwin_purnawan,@BANGSAygSUJUD @prabowo @jokowi @Gerindra @azissubekti @Dahnilanzar @bengkeldodo @are_inismyname @florieliciouss @Kosim__ @emhamka08 @NgkongRoses @KritikusR Beliau Pak Prabowo dan Pak Sandiaga Uno adalah King Maker ditubuh Gerindra (sejarah in-depth politik tanah air mencatat itu).,
231,Ayu716858493,"Berikut data lengkap elektabilitas capres 2024 versi IPS:

Prabowo Subianto 33,2%
Ganjar Pranowo 22,1%
Anies Baswedan 20,9%
Ridwan Kamil 6,2%
Agus Harimurti Yudhoyono 4,3%
Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%",
232,SeputariNews,"Tingkatkan Kriya Kabupaten Toba, Sandiaga Uno: Kita Wujudkan Target 4,4 Juta Lapangan Kerja

https://t.co/DROfQtedIY",MNC News Center Lt.11 Jakarta
233,SeputariNews,"F1 Powerboat 2023 Indonesia Berjalan Lancar, Sandiaga Uno Sebut Danau Toba Siap Jadi Lokasi Event Internasional Lainnya

https://t.co/GD2jc0lrqH",MNC News Center Lt.11 Jakarta
234,indeks_politika,"Erick Thohir 4,2%
Sandiaga Uno 2,7%
Airlangga Hartarto 2,6%
Puan Maharani 2,2%
Muhaimin Iskandar 0,9%
Belum punya pilihan 0,7%",
235,Bisniscom,"Menparekraf Sandiaga Uno menyebut kemudahan perizinan event potensial seperti konser musik, bisa menciptakan pergerakan ekonomi hingga Rp170 triliun. https://t.co/qwZmHn4n85","Jakarta, Indonesia"
236,detikcom,"Ridwan Kamil, Sandiaga Uno, dan Erick Thohir menempati posisi tiga besar di survei cawapres versi IPS. Begini elektabilitasnya.  https://t.co/rAx5eTDTzX","Jakarta, Indonesia"
237,OkeBaliNews,Sandiaga uno Kemudahan Izin Event Potensial Ciptakan Pergerakan Ekonomi Hingga Rp170 Triliun - https://t.co/RIfasdOAOg https://t.co/65ZlDeaO7B,"Bali, Indonesia"
