,date,username,tweet
24,2023-02-19 05:27:56,GuysSandi,Prabowo izinkan Sandi pindah ke PPP? ..  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video Prabowo Subianto #viral #success #politik #indonesia  Tulus Utamakan Rakyat Minggu Hapsun #podcast  https://t.co/KW78WH4uSh
25,2023-02-19 05:21:57,emakemaksandi,Kita perlu penyesuaian dan pahami perilaku uniknya...  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral #success  #indonesia #zoo #animal #animals Tulus Utamakan Rakyat Minggu Hapsun  https://t.co/FLcfn1pECZ
26,2023-02-19 04:52:00,AsepSeptiyana_,"waddduuhh parah nih guys, seperti kacang lupa pada kulitnya ya 😌😌😌 #sandiaga #sandiagauno #kemenparekraf #wonderfulindonesia #IndonesiaJuara #IndonesiaMaju  https://t.co/IlnNUEo13K"
27,2023-02-19 04:45:14,AdeFauzyAhmad,Pusing Bro Pusing....!!! #sandiagauno #pusing #Pilpres2024 #sandi  https://t.co/ztuSYHYBOm
28,2023-02-19 04:33:58,rahmadhdyt709,bagaikan kacang lupa kulitnya!! sandiaga uno dikabarkan bakal pindah dari gerindra ke partai ppp. #sandiagauno #sandiagapenghianat #gerindra #ppp #sandiagangebetjadicapres #politikus #bapakidentitaspolitik  https://t.co/uSlrCOV2OQ
29,2023-02-19 01:18:11,lingga_susilo,"Waduhhhh pakkk, lebih baik ga usah ngapain² pak. #Sandiagauno #Sandigagal #sandiacting #Hollywood #acting #Pilpres2024 #CariSuara  https://t.co/feQFsVwFfd"
30,2023-02-19 00:19:41,andrikingo77,"Waduh kok bisa-bisanya yaa Sandiaga pindah partai gitu aja, kaya gaada ingetnya jasa partai yang sebelumnya.. #kacanglupakulit #sandiagauno #sandiwara #ppp #gerindra #pindahpartai #sandiwaraterus #prabowo  #rumahdp0 #jakarta  https://t.co/ntpHupDLzv"
31,2023-02-18 15:14:10,ElizarIrnold,"@YudiSet16452924 Gw sbg mak2 jg ga rela duit gw ikut buat nyumbang dulu total 6jt , cm untuk dpt pemimpin pengecut @prabowo  dan @SandiagaUno"
32,2023-02-18 10:13:07,sobat_sandi,"Bangga, Produk lokal tampil di acara MotoGP 👏  #sandiagauno #sandiuno #kemenaprekraf #ekonomi #kreatif #saturdaynight #MotoGP #motorsports #sports #Indonesia #Twitter #viral #Trending  https://t.co/ZmihvH3z4w"
33,2023-02-18 06:47:10,tribunnews,"""Tadi banyak guyon ya, sama Pak Prabowo juga ada, bahwa Pak Mardiono tadi menyampaikan, 'pinjam dulu (Sandi-nya)',"" ujar Sandi saat ditemui di ICE BSD, Tangerang, Jumat (17/2/2023). (ist) #SandiagaUno #PrabowoSubianto   https://t.co/PE90DGS40E via @tribunnews"
34,2023-02-18 06:00:32,warna_nusa,"Banyak Turis India Nikah di Bali, Sandiaga Uno: Pesona Bali Begitu Luar Biasa, seperti Magnet yang...  #SandiagaUno #Bali   https://t.co/u5ctiFBgWa"
35,2023-02-18 01:28:28,fajaronline,"Bawaslu Sebut Dana Rp50 Miliar Anies Masuk Pelanggaran Pidana, Tapi Tak Bisa Diusut  https://t.co/9CFBOiRWMB #AniesBaswedan #Bawaslu #PilkadaDkiJakarta #SandiagaUno"
36,2023-02-17 15:19:16,BYuliazman,"Mau minjam KUR harus ada jaminan BPKB motor atw mobil, jadi situ/SIUP buat apa? Usaha jelas, rumah milik sendiri, dll Kenapa dipersulit ya... #umkm #ukm #sandiagauno  https://t.co/bQrSe31bhj"
37,2023-02-17 13:58:32,GercepSandiUno,Mas Menteri @sandiuno menyampaikan : Utamakan Kesejahteraan Rakyat.  @sandiuno   #sandiuno #sandiagauno #kemenparekraf #ekonomi #kreatif #pariwisata #FYP #twitter #TrendingNow #trending #viralindo #viral #video #Content #tourism  https://t.co/a4aQ7J8efY
38,2023-02-17 11:46:20,sobat_sandi,Mas Menteri kena Roasting lagi? 🧐  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral Jumat #friday #success #roasting #talkshow #trending #BreakingNews #today  https://t.co/NT32aESfKX
39,2023-02-17 11:39:39,GuysSandi,Tips Investasi ala Mas Menteri @sandiuno 👌  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral Jumat #friday #success  #indonesia #podcast #invest #business #economics #Entrepreneur  https://t.co/ZbGKM1sArS
40,2023-02-17 11:28:53,emakemaksandi,"Masuk politik pilihan tersulit, tapi dilakukan Mas Menteri untuk membahagiakan orang tua dan Keluarga 🥰  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral Jumat #friday #success  #indonesia #podcast #talkshow #family #Moms #politik #Motivation  https://t.co/GHpMqN48nA"
41,2023-02-17 09:47:51,anadzihni,"#pisanggoreng #nugget #sandiagauno  Pisang Goreng Menjadi Dessert Goreng No.1 Dunia, Kalahkan Churros dan Donat  https://t.co/XriUuXKwnL"
42,2023-02-17 01:13:13,irfanwahidi60,"@YudiSet16452924 @FokusKM50 #SandiagaUno kaya ? Gak juga, yang kaya itu Alloh, buktinya hambanya Alloh saja mampu kasih sumbangan ke Sandi apalagi #AllohuSubhanahuWataala"
43,2023-02-16 15:36:39,vanny_narita,Yeaaaaa! The 1st NFT powered by on-chain AI chatbot!  Congrats @dethrune @unzypsoft @rinacoltd. . . #nft #ai #chat #chatbot  #indonesia #japan #creative #sandiagauno #kemenparekraf #space #spacestationsix #spacestation #sciencetechnologyengineeringARTmath  https://t.co/cUKIMz5GKx
44,2023-02-16 11:29:55,SemarSentinel,#SemarSentinel #ManagementConsulting #ArchipelagoMonitor #Newsletter #StrategicForecast #NTT #PulauPasir #AshmoreReef #Pulau #NusaTenggaraTimur #SandiagaUno #TerritorialDispute
45,2023-02-16 07:05:05,mediadetik60,Jaringan Pemred Promedia Resmi Diluncurkan Promedia Teknologi Indonesia Disaksikan 3 Menteri dan Dewan Pers #jaringanpemredpromedia #JPP #ErickThohir #sandiagauno  https://t.co/LnBWOinSQT
46,2023-02-16 03:00:19,PutraAlamsyahJ1,Rekam jejak memang kejam bro...!!!  #sandiagauno #rekamjejak #sandi #Pilpres2024  https://t.co/xJ4Hf3sH8k
47,2023-02-16 02:56:12,AsepSeptiyana_,"haaduuhh gawat nih guys, kok bisa begini sii 🤔🤔🤔 #sandiaga #sandiagauno #kemenparekraf #wonderfulindonesia #IndonesiaJuara #IndonesiaMaju  https://t.co/qTIfplSiv9"
48,2023-02-16 02:48:11,Edymaull,Sandiaga Uno mau DONGKEL prabowo???  #sandiagakebeletnyapres #sandiagauno #sandiagagakbisakerja #sandiwarauno #prabowo #gerindra #Pilpres2024  https://t.co/sQ6S6NCcgU
49,2023-02-16 02:30:02,Agamsyah1998,SAndiaga mau dongkel prabowo?? #sandiagauno  https://t.co/miGIqkuO3E
50,2023-02-16 01:31:30,fajaronline,"Fahri Hamzah Sibuk Urus Utang Rp50 Miliar hingga Desak KPK Turun Tangan, Imam Shamsi Ali: Ada Apa dengan Kepala Bung?  https://t.co/BEU0E2qBaN #AniesBaswedan #FahriHamzah #KPK #SandiagaUno"
51,2023-02-16 01:27:21,Cahyokt4,Waduuuh.. Ga ada abisnya nih... Ber episode episode hahaha  #KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja  https://t.co/1WqSRUsW1g
52,2023-02-16 01:01:20,andrikingo77,Waduh gawat sih kalo Sandiaga mau dongkel Prabowo benerbener kacang lupa kulit banget itumah #sandiagauno #curang #sandiwara #sandiwaraterus #dongkel #prabowo #prabowosubianto #gerindra #politik #politikidentitas #culas  https://t.co/mqaw0ehLnO
53,2023-02-16 00:41:15,ariefalay66,Kok bisa-bisanya yaa Sandiaga Uno mau dongkel Prabowo dia lupa darimana dia berasal bener bener deh yaaa gaabis pikir lagi #sandiwara #sandiagauno #sandiwaraterus #dongkel #prabowo #gerindra #kacanglupakulit #politik  https://t.co/jGudiMs9Re
54,2023-02-15 11:49:00,BNchanneltv,Tarif baru untuk masuk ke kawasan Candi Borobudur di kisaran Rp100.000-Rp150.000 untuk wisatawan nusantara (wisnu). Sementara untuk wisatawan mancanegara (wisman) sebesar Rp500.000.  Streaming 24 jam di website ‘ https://t.co/bl6ZEQPYQh’  #Menparekraf #SandiagaUno #CandiBorobudur
55,2023-02-15 10:10:51,bigsmile_event,Let's make a journey with Big Smile Event!  #bigsmileevent #projectmuda #career #future #generasimuda #potential #careergoals #sandiagauno #pengusaha #politisi
56,2023-02-15 08:00:02,detikcom,"Insiden singa seruduk mobil di Taman Safari Indonesia Prigen, Jawa Timur cukup menyita publik. Bagaimana tanggapan Menparekraf Sandiaga Uno?  #detikcom #tamansafari #kemenparekraf #sandiagauno  https://t.co/1VipC0dDaZ"
57,2023-02-15 08:00:01,detikTravel,"Insiden singa seruduk mobil di Taman Safari Indonesia Prigen, Jawa Timur cukup menyita publik. Bagaimana tanggapan Menparekraf Sandiaga Uno?  #detiktravel #tamansafari #kemenparekraf #sandiagauno  https://t.co/3oQJ4TCUBg"
58,2023-02-15 06:10:26,digoindo,F1 PowerBoat pertama dalam sejarah dunia akan di gelar di Danau Vulkanik terbesar di dunia!!🥳  Siapa yang gak sabar buat nungguin event ini berlangsung?🙋🏻‍♀️🙋🏻  Cek selengkapnya di  https://t.co/q4eiUcOULz  ya guys❤️  #digoid #F1PowerBoat #SandiagaUno #Kemenparekraf #DanauToba  https://t.co/VrIBpBSFax
59,2023-02-15 04:13:18,JemberNetwork,Menparekraf Sandiaga Uno apresiasi pemberitaan media yang berikan pengaruh pada pariwisata Indonesia. #SandiagaUno #wisata #promedia  https://t.co/Qp9qEFolka
